PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
1631207,38,0,214.0,32,72,7,27,14,21,12,25,22,11,5,8,24,85
1631212,23,2,186.0,29,59,6,14,11,20,8,29,11,2,11,8,14,75
1631216,51,4,812.0,66,182,46,136,15,18,34,65,30,12,7,18,63,193
1631222,35,0,414.0,37,95,24,71,7,9,19,44,21,12,4,18,49,105
1631223,70,4,1259.0,180,420,65,212,41,65,50,143,59,29,19,57,107,466
1631254,24,1,176.0,49,93,6,17,16,27,19,32,20,5,2,12,28,120
1631260,35,1,345.0,53,125,44,105,4,4,6,39,22,6,0,9,31,154
1631298,17,0,66.0,8,19,3,9,2,3,6,11,4,3,2,2,9,21
1631323,52,6,766.0,115,312,63,191,35,44,31,55,42,15,8,39,62,328
1641645,10,1,126.0,17,28,0,1,4,10,16,22,6,6,4,8,13,38
